127.0.0.1 - - [28/Jun/2024:12:22:37 +0900] "GET / HTTP/1.1" 200 36763
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/jquery.model.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/jquery.form.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/html5shiv.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/jquery.blockUI.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/stringBuffer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/global_pub.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/commonAjax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/popFindZipCode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/login_pub.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /images/admin/login/logo_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/sweetalert/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/jquery-ui/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /js/jquery-ui/jquery-ui-1.11.4/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:42 +0900] "GET /fonts/NanumBarunGothic.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:43 +0900] "GET /favicon.ico HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:45 +0900] "GET /images/admin/comm/busy.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:46 +0900] "POST /loginProc.do HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:46 +0900] "GET /dashboard/dashboard.do HTTP/1.1" 200 22694
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:46 +0900] "GET /images/admin/comm/left_myImg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:46 +0900] "GET /images/admin/comm/left_logoBg01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:46 +0900] "GET /images/admin/comm/btn_logout.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:46 +0900] "GET /images/admin/comm/left_logoBg02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:46 +0900] "GET /images/admin/comm/btn_mypage.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:46 +0900] "GET /images/admin/comm/set_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:46 +0900] "GET /images/admin/comm/set_leftMenu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:47 +0900] "GET /images/admin/comm/set_bul.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:48 +0900] "GET /tut/lecturePlan.do HTTP/1.1" 200 27741
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:49 +0900] "GET /images/admin/comm/set_btnBg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:49 +0900] "POST /tut/fLectureList.do HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:22:50 +0900] "POST /tut/fLecInfo.do HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [28/Jun/2024:12:24:44 +0900] "POST /tut/fLecInfo.do HTTP/1.1" 200 2518
